Project,Task ID,Title,Column,Priority,Labels,Description,Created
"Cash-Secured Put Selling Automator","csp-8","Add position management alerts (roll/close signals)","backlog","medium","Alerts","Monitor open positions: alert when position is >50% profitable (early close opportunity), approaching expiry with assignment risk, or underlying has material fundamental change. Suggest roll candidates.","2026-02-07T00:00:00.000Z"
"Cash-Secured Put Selling Automator","csp-9","Build subscriber dashboard with trade history and performance","backlog","low","UI","Dashboard: current open positions, pending recommendations, trade history with P&L, performance charts (cumulative return, monthly breakdown, win rate trend). Compare vs SPY buy-and-hold.","2026-02-07T00:00:00.000Z"
"Cash-Secured Put Selling Automator","csp-10","Launch with subscription + optional performance fee model","backlog","low","Billing; Launch","Pricing: $99/mo (recommendations only), $249/mo (recommendations + portfolio management alerts + journal). Optional 10% performance fee on profits above 8% annual hurdle. Landing page with backtest results.","2026-02-07T00:00:00.000Z"
"Earnings Straddle/Strangle Optimizer","es-1","Build FMP earnings calendar with historical data mapping","backlog","high","Setup; FMP","Pull upcoming earnings calendar from FMP. For each company: fetch last 8 quarters of actual earnings, expected earnings, surprise %, and stock price change on earnings day. Build historical reaction database.","2026-02-07T00:00:00.000Z"
"Earnings Straddle/Strangle Optimizer","es-2","Integrate Massive.com options data for pre-earnings IV analysis","backlog","high","Core; Massive","Pull ATM straddle pricing and full options chain from Massive for each upcoming earnings stock. Calculate implied move from ATM straddle price. Track IV evolution T-10 to T-1 days before earnings.","2026-02-07T00:00:00.000Z"
"Earnings Straddle/Strangle Optimizer","es-3","Build historical IV crush and expected move accuracy model","backlog","high","Core; Data","For each stock: calculate average IV crush (% drop post-earnings), historical expected move accuracy (implied vs actual), and frequency of exceeding expected move. Build per-stock statistical profiles.","2026-02-07T00:00:00.000Z"
"Earnings Straddle/Strangle Optimizer","es-4","Implement mispricing detection algorithm","backlog","medium","AI; Options","Compare current implied move to historical actual moves. Flag opportunities where: market is underpricing risk (buy straddle), market is overpricing (sell straddle/strangle), or skew is abnormal. Score conviction 1-5.","2026-02-07T00:00:00.000Z"
"Earnings Straddle/Strangle Optimizer","es-5","Build optimal structure selector (straddle vs strangle vs custom)","backlog","medium","Core; Options","For each opportunity: compare risk/reward of ATM straddle, OTM strangle (various widths), iron butterfly, and custom structures. Factor in commissions, capital requirements, and probability of profit.","2026-02-07T00:00:00.000Z"
"Earnings Straddle/Strangle Optimizer","es-6","Create pre-earnings weekly briefing report","backlog","medium","Output; Content","Weekly PDF/email report covering: this week's earnings plays ranked by conviction, detailed P&L scenarios for each trade, historical performance stats, and IV crush expectations. Published Sunday evening.","2026-02-07T00:00:00.000Z"
"Earnings Straddle/Strangle Optimizer","es-7","Build post-earnings result tracker and performance grading","backlog","medium","Data; Testing","After each earnings: log actual move vs predicted, IV crush vs expected, P&L on recommended trades. Grade each signal A-F. Publish running track record with win rate, average return, and Sharpe ratio.","2026-02-07T00:00:00.000Z"
"Earnings Straddle/Strangle Optimizer","es-8","Implement real-time earnings alert and post-earnings rapid analysis","backlog","medium","Alerts","Alert subscribers 1 hour before earnings. Within 15 minutes post-report: send actual move, IV crush, recommended action (hold/close/roll), and next-day trading plan.","2026-02-07T00:00:00.000Z"
"Earnings Straddle/Strangle Optimizer","es-9","Build interactive earnings season dashboard","backlog","low","UI","Calendar view of upcoming earnings with mispricing score, historical stats, and recommended trades. Post-earnings: show results with P&L. Season-level summary: total return, best/worst trades.","2026-02-07T00:00:00.000Z"
"Earnings Straddle/Strangle Optimizer","es-10","Launch seasonal pricing model ($199/mo active, $49/mo off-season)","backlog","low","Billing; Launch","Full pricing during Q1/Q2 earnings season (Jan-Feb, Apr-May, Jul-Aug, Oct-Nov). Off-season reduced rate with research-only access. Annual option at $1,499. Landing page with backtested results.","2026-02-07T00:00:00.000Z"
"Covered Call Yield Maximizer","cc-1","Build portfolio import and holdings management system","backlog","high","Setup; UI","Import user stock holdings via CSV, manual entry, or broker API (Plaid). Store: ticker, shares, cost basis, purchase date. Support multiple accounts and lot-level tracking for tax purposes.","2026-02-07T00:00:00.000Z"
"Covered Call Yield Maximizer","cc-2","Integrate Massive.com options chain for call strike optimization","backlog","high","Core; Massive","For each holding: pull options chain from Massive. Filter calls by DTE (14-45 days), delta (0.15-0.35), and minimum premium threshold. Calculate annualized yield for each candidate strike/expiry.","2026-02-07T00:00:00.000Z"
"Covered Call Yield Maximizer","cc-3","Build FMP earnings and ex-dividend date conflict checker","backlog","high","Core; FMP","Cross-reference call expiry dates with FMP earnings calendar and ex-dividend dates. Flag and exclude strikes expiring through earnings (IV crush risk) or after ex-date (assignment risk for ITM calls).","2026-02-07T00:00:00.000Z"
"Covered Call Yield Maximizer","cc-4","Implement tax-aware strike selection for gains/losses","backlog","medium","Data","Factor in cost basis: for positions with large unrealized gains, prefer OTM calls to avoid triggering taxable events. For loss positions, consider more aggressive strikes. Long-term vs short-term CG considerations.","2026-02-07T00:00:00.000Z"
"Covered Call Yield Maximizer","cc-5","Create daily ""optimal write"" recommendations for each holding","backlog","medium","Output; AI","Daily at 10 AM ET: for each holding, recommend best call to write with: strike, expiry, premium, annualized yield, probability of assignment, max gain/loss scenarios. Rank by risk-adjusted yield.","2026-02-07T00:00:00.000Z"
"Covered Call Yield Maximizer","cc-6","Build position management with roll and close signals","backlog","medium","Alerts; Options","Monitor open covered calls: alert when >50% premium captured (early close), approaching expiry ITM (roll up/out), or underlying drops significantly (buy back opportunity). Calculate roll economics.","2026-02-07T00:00:00.000Z"
"Covered Call Yield Maximizer","cc-7","Implement income tracking and projected yield dashboard","backlog","medium","UI; Data","Track: premium collected (monthly/annual), annualized yield on capital, shares called away, total portfolio income projection. Compare with dividends-only income.","2026-02-07T00:00:00.000Z"
"Covered Call Yield Maximizer","cc-8","Add ""called away"" reinvestment and replacement suggestions","backlog","medium","AI","When shares are called away: suggest replacement candidates with similar yield, sector, and quality characteristics. Cash-secured put to re-enter at lower price. Track wheel strategy lifecycle.","2026-02-07T00:00:00.000Z"
"Covered Call Yield Maximizer","cc-9","Build monthly income report PDF generator","backlog","low","Output; Polish","Auto-generate monthly income report: premiums collected by position, total income, annualized yield, positions managed, and projected next-month income. Exportable for tax preparation.","2026-02-07T00:00:00.000Z"
"Covered Call Yield Maximizer","cc-10","Launch with tiered pricing ($49/$99/$149)","backlog","low","Billing; Launch","Lite ($49/mo, 10 holdings, daily recommendations), Standard ($99/mo, 50 holdings, alerts + roll suggestions), Premium ($149/mo, unlimited, tax optimization, broker integration). Free 14-day trial.","2026-02-07T00:00:00.000Z"
"Mean-Reversion Pair Trading Signals","pt-1","Build FMP peer universe and fundamental similarity scoring","backlog","high","Setup; FMP","For each sector: pull FMP peer data, financial ratios (P/E, EV/EBITDA, margins, growth), and business descriptions. Calculate fundamental similarity score for all possible pairs using cosine similarity on financial metrics.","2026-02-07T00:00:00.000Z"
"Mean-Reversion Pair Trading Signals","pt-2","Implement cointegration testing and pair selection engine","backlog","high","Core; Data","Run Engle-Granger and Johansen cointegration tests on all candidate pairs using 2+ years of daily prices. Select pairs with p-value <0.05 and stable half-life (10-60 days). Re-validate monthly.","2026-02-07T00:00:00.000Z"
"Mean-Reversion Pair Trading Signals","pt-3","Build real-time spread monitoring with Massive.com price feeds","backlog","high","Core; Massive","Calculate spread (log price ratio) for active pairs using Massive real-time data. Track spread z-score relative to rolling 60-day mean and standard deviation. WebSocket feeds for sub-second updates.","2026-02-07T00:00:00.000Z"
"Mean-Reversion Pair Trading Signals","pt-4","Implement entry/exit signal generation with fundamental confirmation","backlog","medium","AI; FMP","Generate entry signals when z-score exceeds +/-2.0 AND fundamental similarity remains high. Exit at z-score returning to +/-0.5. Include stop-loss at z-score +/-3.5. Verify no structural break with FMP data.","2026-02-07T00:00:00.000Z"
"Mean-Reversion Pair Trading Signals","pt-5","Build position sizing with dollar-neutral hedging calculator","backlog","medium","Core; Options","Calculate hedge ratios using OLS regression beta. Ensure dollar-neutral positioning. Adjust for beta instability. Include margin requirements, capital allocation limits, and max portfolio concentration.","2026-02-07T00:00:00.000Z"
"Mean-Reversion Pair Trading Signals","pt-6","Create real-time pair monitoring dashboard","backlog","medium","UI","Dashboard showing: active pairs with current z-scores, spread charts with Bollinger bands, open positions P&L, signal history. Color-coded alert status (green/yellow/red zones).","2026-02-07T00:00:00.000Z"
"Mean-Reversion Pair Trading Signals","pt-7","Implement multi-channel signal alerts with entry details","backlog","medium","Alerts; Output","Push entry/exit signals via Telegram, Discord, email with: pair tickers, direction, entry prices, hedge ratio, position sizes, expected holding period, and stop-loss levels. Include fundamental context.","2026-02-07T00:00:00.000Z"
"Mean-Reversion Pair Trading Signals","pt-8","Build signal backtesting engine with realistic execution assumptions","backlog","medium","Testing; Data","Backtest all signals over 3+ years with: slippage (10bps per side), commissions, margin costs, and partial fills. Calculate: Sharpe ratio, max drawdown, avg holding period, win rate, profit factor.","2026-02-07T00:00:00.000Z"
"Mean-Reversion Pair Trading Signals","pt-9","Add structural break detection and pair degradation alerts","backlog","low","AI; Alerts","Monitor pair health: detect cointegration breakdown, fundamental divergence (M&A, business model change), and regime shifts. Alert subscribers to degrading pairs before losses accumulate.","2026-02-07T00:00:00.000Z"
"Mean-Reversion Pair Trading Signals","pt-10","Launch targeting prop traders and quantitative funds","backlog","low","Billing; Launch","Pricing: $299/mo (signals + dashboard), $999/mo (API access + backtesting engine). Target: prop trading firms, family offices, quantitative fund PMs. Sales via LinkedIn, QuantConnect community, trade shows.","2026-02-07T00:00:00.000Z"
"Automated Investment Thesis Generator","tg-1","Build FMP comprehensive data aggregation layer","backlog","high","Setup; FMP","For a given ticker: pull income statement (5Y), balance sheet (5Y), cash flow (5Y), key metrics, financial ratios, analyst estimates, price targets, insider transactions, institutional holders, and company profile from FMP.","2026-02-07T00:00:00.000Z"
"Automated Investment Thesis Generator","tg-2","Implement DCF valuation model auto-generator","backlog","high","Core; Data","Automatically build DCF model: project revenue (analyst consensus + trend), estimate margins, calculate FCFF, determine WACC (CAPM with FMP beta), compute terminal value. Output bear/base/bull scenarios.","2026-02-07T00:00:00.000Z"
"Automated Investment Thesis Generator","tg-3","Build AI thesis writing engine with Claude","backlog","high","AI","Use Claude to generate investment thesis sections: company overview, industry dynamics, competitive moat analysis, financial analysis, valuation, key risks, and investment recommendation. Professional tone, data-driven.","2026-02-07T00:00:00.000Z"
"Automated Investment Thesis Generator","tg-4","Create comparable company analysis module","backlog","medium","Data; FMP","Pull FMP peer data + financial ratios. Build comps table: P/E, EV/EBITDA, EV/Revenue, PEG ratio, dividend yield for the company vs 5-10 closest peers. Calculate implied valuation range from each multiple.","2026-02-07T00:00:00.000Z"
"Automated Investment Thesis Generator","tg-5","Build chart and visualization generator for PDF reports","backlog","medium","UI; Output","Auto-generate charts: revenue/earnings trend, margin evolution, valuation multiples history, peer comparison spider chart, DCF sensitivity table, price vs intrinsic value. Use Matplotlib/Plotly for PDF embedding.","2026-02-07T00:00:00.000Z"
"Automated Investment Thesis Generator","tg-6","Implement professional PDF report template system","backlog","medium","Output","Design 3-4 professional templates: equity research style, pitch deck style, one-pager summary, and detailed deep-dive. LaTeX or HTML-to-PDF with custom branding. Exportable to DOCX for editing.","2026-02-07T00:00:00.000Z"
"Automated Investment Thesis Generator","tg-7","Add earnings transcript sentiment and management quality analysis","backlog","medium","AI; FMP","Pull latest earnings transcript from FMP. AI analysis of: management credibility (promises vs delivery), capital allocation track record, tone changes, and key strategic priorities. Include in thesis.","2026-02-07T00:00:00.000Z"
"Automated Investment Thesis Generator","tg-8","Build web app with report generation UI and history","backlog","medium","UI","Simple web app: enter ticker, select template, generate report in 2-3 minutes. Report history, favorites, and portfolio of reports. Share links for generated reports. User account management.","2026-02-07T00:00:00.000Z"
"Automated Investment Thesis Generator","tg-9","Implement white-label option for IR departments","backlog","low","Billing","Allow companies to generate their own investment thesis with custom branding, approved data, and controlled messaging. IR-specific templates with quarterly update support. Enterprise pricing.","2026-02-07T00:00:00.000Z"
"Automated Investment Thesis Generator","tg-10","Launch with per-report and unlimited subscription pricing","backlog","low","Billing; Launch","Pay-per-report ($5 one-pager, $25 full thesis, $50 deep-dive), Unlimited ($299/mo), Enterprise/IR ($999/mo white-label). Free sample report for marketing. SEO content strategy targeting ""stock analysis"" keywords.","2026-02-07T00:00:00.000Z"
"White-Label Client Portfolio Reporting","pr-1","Build multi-client portfolio data import system","backlog","high","Setup; Data","Support portfolio import via: CSV upload, custodian data feeds (Schwab, Fidelity, Pershing), and manual entry. Handle multiple accounts per client, different account types (IRA, taxable, trust). Store in PostgreSQL.","2026-02-07T00:00:00.000Z"
"White-Label Client Portfolio Reporting","pr-2","Integrate Massive.com historical pricing for performance calculation","backlog","high","Core; Massive","Pull daily historical prices from Massive for all holdings. Calculate time-weighted returns (GIPS-compliant), money-weighted returns, and benchmark-relative performance. Handle corporate actions, dividends, splits.","2026-02-07T00:00:00.000Z"
"White-Label Client Portfolio Reporting","pr-3","Build FMP fundamentals enrichment for holdings analysis","backlog","high","Core; FMP","For each holding: pull FMP company profile, key metrics, analyst ratings, sector classification, and dividend data. Enrich portfolio with: aggregate P/E, yield, sector allocation, market cap distribution.","2026-02-07T00:00:00.000Z"
"White-Label Client Portfolio Reporting","pr-4","Implement performance attribution analysis engine","backlog","medium","Data","Calculate attribution: sector allocation effect, security selection effect, and interaction effect vs benchmark. Show which decisions added/subtracted value. Support multiple benchmark selections.","2026-02-07T00:00:00.000Z"
"White-Label Client Portfolio Reporting","pr-5","Build risk analytics module (beta, Sharpe, drawdown)","backlog","medium","Data","Calculate: portfolio beta, Sharpe ratio, Sortino ratio, max drawdown, VaR (95% and 99%), tracking error. Historical risk metrics with trending. Concentration risk analysis (top 10 holdings %).","2026-02-07T00:00:00.000Z"
"White-Label Client Portfolio Reporting","pr-6","Create branded PDF report template engine","backlog","medium","Output; UI","White-label report templates with: advisor firm logo, colors, contact info. Sections: performance summary, holdings detail, sector allocation pie, risk metrics, market commentary (AI-generated). HTML-to-PDF.","2026-02-07T00:00:00.000Z"
"White-Label Client Portfolio Reporting","pr-7","Build AI-generated market commentary and outlook section","backlog","medium","AI","Use Claude to generate customized market commentary for each report period: macro environment, sector trends, portfolio positioning rationale. Advisor can edit before finalizing. Style templates.","2026-02-07T00:00:00.000Z"
"White-Label Client Portfolio Reporting","pr-8","Implement batch report generation and client portal","backlog","medium","UI; Infra","Generate reports for all clients in one click (quarterly batch). Client portal: clients log in to view their reports, performance charts, and holdings. Advisor controls client access and visibility.","2026-02-07T00:00:00.000Z"
"White-Label Client Portfolio Reporting","pr-9","Add compliance and regulatory features (ADV Part 2, disclaimers)","backlog","low","Polish","Auto-include required disclosures, fee schedules, and regulatory disclaimers. Track report delivery for compliance records. Audit trail of report generation and distribution.","2026-02-07T00:00:00.000Z"
"White-Label Client Portfolio Reporting","pr-10","Launch with per-firm pricing and onboarding program","backlog","low","Billing; Launch","Pricing: Small RIA ($500/mo, up to 50 clients), Medium ($1,000/mo, up to 200 clients), Large ($2,000/mo, unlimited). White-glove onboarding: data migration, branding setup, first report generation.","2026-02-07T00:00:00.000Z"
"ESG + Financial Health Composite Scoring","esg-1","Build FMP financial health scoring framework","backlog","high","Setup; FMP","Pull FMP financial statements and ratios for full US equity universe. Calculate Altman Z-Score, Piotroski F-Score, and custom financial health score (profitability, leverage, liquidity, efficiency). Rank universe.","2026-02-07T00:00:00.000Z"
"ESG + Financial Health Composite Scoring","esg-2","Integrate ESG data sources and scoring methodology","backlog","high","Core; Data","Pull ESG ratings from available APIs (MSCI, Sustainalytics proxy, or open ESG datasets). Normalize to unified 0-100 scale across E, S, G pillars. Handle missing data with sector-average imputation.","2026-02-07T00:00:00.000Z"
"ESG + Financial Health Composite Scoring","esg-3","Create composite ""Investability Score"" combining financial + ESG","backlog","high","Core; AI","Composite score: Financial Health (50%) + ESG Score (30%) + Momentum (20%). Configurable weights for different fund mandates. Support exclusionary screening (tobacco, weapons, fossil fuels). Daily recalculation.","2026-02-07T00:00:00.000Z"
"ESG + Financial Health Composite Scoring","esg-4","Build screening dashboard with custom filter builder","backlog","medium","UI","Interactive screener: filter by ESG score, financial health, sector, market cap, geography. Custom exclusion lists. Sortable results table with sparkline charts. Save and share screen configurations.","2026-02-07T00:00:00.000Z"
"ESG + Financial Health Composite Scoring","esg-5","Implement portfolio ESG analytics and compliance reporting","backlog","medium","Data; Output","For a given portfolio: calculate weighted ESG score, carbon footprint estimate, controversial business involvement, and UN SDG alignment. Compare vs benchmark ESG profile. Compliance gap analysis.","2026-02-07T00:00:00.000Z"
"ESG + Financial Health Composite Scoring","esg-6","Build automated ESG improvement recommendation engine","backlog","medium","AI","For portfolios below ESG thresholds: suggest swap trades that improve ESG score with minimal tracking error impact. Rank substitutions by: ESG improvement, return similarity, and transition cost.","2026-02-07T00:00:00.000Z"
"ESG + Financial Health Composite Scoring","esg-7","Create regulatory compliance report generator (SFDR, EU Taxonomy)","backlog","medium","Output; Polish","Auto-generate SFDR Article 6/8/9 reports, EU Taxonomy alignment percentages, and TCFD disclosures. Pre-formatted templates for common regulatory requirements. Quarterly update automation.","2026-02-07T00:00:00.000Z"
"ESG + Financial Health Composite Scoring","esg-8","Build API for integration with portfolio management systems","backlog","medium","API","REST API: /scores/{ticker}, /screen (with filters), /portfolio-analytics, /compliance-report. Bulk endpoints for universe-level data. Client libraries for Python and Excel add-in.","2026-02-07T00:00:00.000Z"
"ESG + Financial Health Composite Scoring","esg-9","Implement historical ESG score tracking and trend analysis","backlog","low","Data","Track ESG scores over time for each company. Detect improving/deteriorating ESG trends. Alert on material ESG events (controversies, governance changes, emissions targets). Monthly trend reports.","2026-02-07T00:00:00.000Z"
"ESG + Financial Health Composite Scoring","esg-10","Launch with institutional pricing and compliance focus","backlog","low","Billing; Launch","Asset Manager ($199/mo, screening + API), Institutional ($499/mo, compliance reports + portfolio analytics), Enterprise ($999/mo, custom scoring + white-label). Target ESG-mandated funds and European asset managers.","2026-02-07T00:00:00.000Z"
"AI-Powered Daily Market Newsletter Factory","nf-1","Build FMP market data aggregation pipeline (daily at 5 PM ET)","backlog","high","Setup; FMP","Daily automated pull: top gainers/losers, sector performance, earnings calendar (today/tomorrow), market indices (SPY, QQQ, DIA, IWM, VIX), economic calendar, and top news stories via FMP API.","2026-02-07T00:00:00.000Z"
"AI-Powered Daily Market Newsletter Factory","nf-2","Integrate Massive.com unusual options activity summary","backlog","high","Core; Massive","Pull Massive options data: highest volume contracts, largest premium trades, unusual volume alerts. Summarize daily options flow: overall put/call sentiment, top bullish/bearish bets by dollar value.","2026-02-07T00:00:00.000Z"
"AI-Powered Daily Market Newsletter Factory","nf-3","Build AI newsletter writing engine with data-driven sections","backlog","high","AI; Content","Claude/GPT writes 5-section newsletter: Market Summary (indices, sectors), Earnings Watch (reports + reactions), Options Flow (unusual activity), Key Events (economic calendar), Tomorrow's Watchlist. Every claim backed by data.","2026-02-07T00:00:00.000Z"
"AI-Powered Daily Market Newsletter Factory","nf-4","Create responsive HTML email template with data visualizations","backlog","medium","UI; Output","Professional email template: market scoreboard table, sector heatmap, top movers list, earnings beat/miss icons. Mobile-responsive, dark mode compatible. A/B test subject lines for open rate optimization.","2026-02-07T00:00:00.000Z"
"AI-Powered Daily Market Newsletter Factory","nf-5","Set up email delivery infrastructure (SendGrid/Mailchimp)","backlog","medium","Infra","Configure email service: list management, segmentation (free vs paid), deliverability optimization, unsubscribe handling, bounce management. Target >95% deliverability rate. DKIM/SPF/DMARC setup.","2026-02-07T00:00:00.000Z"
"AI-Powered Daily Market Newsletter Factory","nf-6","Build subscriber acquisition funnel and landing page","backlog","medium","Launch; Content","Landing page with free newsletter signup, sample editions, and premium upgrade CTA. SEO-optimized blog with daily market recaps (public). Social media auto-posting (Twitter, LinkedIn) for growth.","2026-02-07T00:00:00.000Z"
"AI-Powered Daily Market Newsletter Factory","nf-7","Implement premium tier with exclusive content sections","backlog","medium","Billing","Premium ($19/mo): adds options flow analysis, earnings preview deep-dives, weekend special reports, and trade ideas section. Free tier: basic market summary only. Conversion funnel optimization.","2026-02-07T00:00:00.000Z"
"AI-Powered Daily Market Newsletter Factory","nf-8","Add sponsor/ad integration and revenue tracking","backlog","medium","Billing","Native ad placement in newsletter: sponsor section, banner ads, sponsored ticker mentions. Build advertiser dashboard: impressions, clicks, CTR tracking. Rate card based on subscriber count.","2026-02-07T00:00:00.000Z"
"AI-Powered Daily Market Newsletter Factory","nf-9","Build analytics dashboard (open rates, growth, revenue)","backlog","low","Data; UI","Track: subscriber growth, daily open rate, click-through rate, premium conversion rate, churn rate, ad revenue, LTV. A/B testing framework for subject lines, content sections, and send times.","2026-02-07T00:00:00.000Z"
"AI-Powered Daily Market Newsletter Factory","nf-10","Scale to 10K+ subscribers with referral program","backlog","low","Launch","Implement referral program: refer 3 friends for 1 month free premium. Viral sharing mechanics: ""Share your daily market card"" social image generator. Target: 1,000 subscribers in 90 days, 10,000 in 12 months.","2026-02-07T00:00:00.000Z"
"YouTube/TikTok Financial Content Automation","ca-1","Build FMP daily content idea generator","backlog","high","Setup; FMP","Every market day: scan FMP for content-worthy events: biggest movers (>5%), earnings surprises (>10% beat/miss), sector rotation, unusual insider activity, analyst upgrades/downgrades. Score by viral potential.","2026-02-07T00:00:00.000Z"
"YouTube/TikTok Financial Content Automation","ca-2","Create AI video script writing engine","backlog","high","AI; Content","Claude generates 60-90 second scripts for TikTok/Shorts and 5-8 minute scripts for YouTube. Include: hook (first 3 seconds), data points with source citations, analysis, and call-to-action. Match platform-specific tone.","2026-02-07T00:00:00.000Z"
"YouTube/TikTok Financial Content Automation","ca-3","Build automated chart and visual generation pipeline","backlog","high","UI; Output","Generate stock charts with key levels, sector performance heatmaps, earnings comparison tables, and data visualization cards using Plotly/Matplotlib. Export as PNG/SVG for video overlay. Branded templates.","2026-02-07T00:00:00.000Z"
"YouTube/TikTok Financial Content Automation","ca-4","Implement TTS narration with ElevenLabs or similar","backlog","medium","AI","Generate professional voice narration from scripts. Support multiple voice personas (professional analyst, casual explainer). Sync audio timing with visual cues. Handle numbers and ticker symbols correctly.","2026-02-07T00:00:00.000Z"
"YouTube/TikTok Financial Content Automation","ca-5","Build video assembly engine (visuals + narration + captions)","backlog","medium","Core","Programmatically combine: background visuals, chart overlays, text captions, and audio narration into finished video. Use FFmpeg/MoviePy. Support 9:16 (TikTok/Shorts) and 16:9 (YouTube) formats.","2026-02-07T00:00:00.000Z"
"YouTube/TikTok Financial Content Automation","ca-6","Create thumbnail generator with A/B testing support","backlog","medium","UI; Content","Auto-generate clickable thumbnails: stock ticker with arrow (up/down), key number (% change, price target), surprised face template, and dramatic text. Generate 3 variants for A/B testing.","2026-02-07T00:00:00.000Z"
"YouTube/TikTok Financial Content Automation","ca-7","Set up multi-platform auto-publishing pipeline","backlog","medium","Output; Infra","Auto-publish to: YouTube (via API), TikTok (via API/3rd party), Instagram Reels, Twitter. Include optimized titles, descriptions, hashtags, and scheduling (peak engagement times per platform).","2026-02-07T00:00:00.000Z"
"YouTube/TikTok Financial Content Automation","ca-8","Implement performance analytics and content optimization","backlog","medium","Data","Track: views, watch time, engagement, subscriber conversion per video. Identify best-performing topics, formats, and posting times. AI-powered recommendation for next content topics based on performance.","2026-02-07T00:00:00.000Z"
"YouTube/TikTok Financial Content Automation","ca-9","Build affiliate link and sponsorship integration system","backlog","low","Billing","Auto-insert broker affiliate links, trading tool referral codes, and sponsor mentions. Track click-through and conversion rates per video. Revenue attribution dashboard.","2026-02-07T00:00:00.000Z"
"YouTube/TikTok Financial Content Automation","ca-10","Scale to daily publishing cadence across all platforms","backlog","low","Launch","Target: 1 YouTube video + 2-3 TikToks daily, fully automated. Content calendar management, trend monitoring, and seasonal content planning (earnings season, Fed meetings, tax season).","2026-02-07T00:00:00.000Z"
"Niche Industry Sector Reports","nsr-1","Identify and define 5-10 underserved niche sectors","backlog","high","Setup","Research sectors with active investor interest but limited coverage: uranium miners, rare earth companies, defense contractors, space/satellite, cannabis, nuclear energy, quantum computing, cybersecurity, water utilities. Select initial 3.","2026-02-07T00:00:00.000Z"
"Niche Industry Sector Reports","nsr-2","Build FMP bulk data pipeline for niche sector companies","backlog","high","Core; FMP","For each sector: compile complete company list (10-50 tickers per sector). Pull FMP bulk financial statements, key metrics, analyst estimates, insider transactions, and price data. Weekly automated refresh.","2026-02-07T00:00:00.000Z"
"Niche Industry Sector Reports","nsr-3","Create sector-specific financial analysis templates","backlog","high","Data","Build analysis frameworks per sector: mining companies (reserves, production costs, capex cycles), defense (contract backlog, book-to-bill), tech (ARR, NRR, Rule of 40). Custom metrics per sector.","2026-02-07T00:00:00.000Z"
"Niche Industry Sector Reports","nsr-4","Build AI weekly report writing engine","backlog","medium","AI; Content","Claude generates weekly sector report sections: market overview, company updates (earnings, filings, price moves), sector valuation table, technical levels, and outlook. Data-driven with FMP citations.","2026-02-07T00:00:00.000Z"
"Niche Industry Sector Reports","nsr-5","Create sector comparison tables and visualization generator","backlog","medium","UI; Output","Auto-generate: sector valuation comps table, relative performance chart, sector ETF vs individual stock scatter plot, production/reserve charts (for commodity sectors). Branded formatting.","2026-02-07T00:00:00.000Z"
"Niche Industry Sector Reports","nsr-6","Implement weekly PDF report generation and distribution","backlog","medium","Output","Professional PDF template: cover page with sector theme image, table of contents, 8-12 pages of analysis and charts. Auto-distribute via email every Sunday evening. Archive of past reports.","2026-02-07T00:00:00.000Z"
"Niche Industry Sector Reports","nsr-7","Build sector-specific news and event monitoring","backlog","medium","Alerts; AI","Monitor FMP news and press releases for sector-relevant keywords. Alert subscribers to material events mid-week: regulatory changes, M&A, production updates, government contracts. AI-summarized.","2026-02-07T00:00:00.000Z"
"Niche Industry Sector Reports","nsr-8","Add interactive web dashboard per sector","backlog","medium","UI","Web dashboard per sector: live valuation table, performance charts, news feed, analyst ratings. Available to premium subscribers. Embeddable widgets for subscriber websites/blogs.","2026-02-07T00:00:00.000Z"
"Niche Industry Sector Reports","nsr-9","Implement subscriber community (Discord/Slack per sector)","backlog","low","Polish","Create dedicated community channels per sector for subscriber discussion. Weekly AMA threads, sector polls, and collaborative research notes. Community as retention and differentiation strategy.","2026-02-07T00:00:00.000Z"
"Niche Industry Sector Reports","nsr-10","Launch first 3 sectors with tiered pricing","backlog","low","Billing; Launch","Per-sector pricing: Basic ($99/mo, weekly report), Pro ($249/mo, report + alerts + dashboard), Bundle (3 sectors: $499/mo). Cross-sell across sectors. Affiliate program for sector bloggers/influencers.","2026-02-07T00:00:00.000Z"
"Risk-Adjusted Position Sizing Calculator API","ps-1","Build volatility regime detection engine using Massive + FMP","backlog","high","Setup; Massive; FMP","Combine VIX level (FMP), VIX term structure, realized volatility (Massive tick data), and VVIX for regime classification: Low, Normal, Elevated, High, Extreme. Output regime + confidence level.","2026-02-07T00:00:00.000Z"
"Risk-Adjusted Position Sizing Calculator API","ps-2","Implement Kelly Criterion position sizing calculator","backlog","high","Core","Calculate optimal Kelly fraction based on: win probability, average win/loss ratio, and current edge estimate. Apply fractional Kelly (quarter or half) for practical sizing. Cap at maximum portfolio %.","2026-02-07T00:00:00.000Z"
"Risk-Adjusted Position Sizing Calculator API","ps-3","Build catalyst-aware sizing adjustment module","backlog","high","Core; FMP","Pull FMP earnings calendar, dividend calendar, and economic calendar. Reduce position size by 30-50% when catalyst is within DTE. Calculate event-specific risk premium using historical event volatility.","2026-02-07T00:00:00.000Z"
"Risk-Adjusted Position Sizing Calculator API","ps-4","Implement portfolio correlation and concentration checker","backlog","medium","Data","Given existing portfolio + proposed new position: calculate portfolio beta, sector concentration, pairwise correlations. Adjust sizing to keep total portfolio risk within target. Flag concentration breaches.","2026-02-07T00:00:00.000Z"
